UNIT FILE                                    STATE           PRESET
systemd-creds@.service                       static          -
systemd-exit.service                         static          -
systemd-factory-reset-complete.service       static          -
systemd-factory-reset-reboot.service         static          -
systemd-factory-reset-request.service        static          -
systemd-factory-reset@.service               static          -
systemd-firstboot.service                    static          -
systemd-fsck-root.service                    enabled-runtime disabled
systemd-fsck@.service                        static          -
systemd-growfs-root.service                  static          -
systemd-growfs@.service                      static          -
systemd-halt.service                         static          -
systemd-hibernate-clear.service              static          -
systemd-hibernate-resume.service             static          -
systemd-hibernate.service                    static          -
systemd-homed-activate.service               disabled        enabled
systemd-homed-firstboot.service              disabled        disabled
systemd-homed.service                        disabled        enabled
systemd-hostnamed.service                    static          -
systemd-hwdb-update.service                  static          -
systemd-hybrid-sleep.service                 static          -
systemd-importd.service                      static          -
systemd-journal-catalog-update.service       static          -
systemd-journal-flush.service                static          -
systemd-journal-gatewayd.service             indirect        disabled
systemd-journal-remote.service               indirect        disabled
systemd-journal-upload.service               disabled        disabled
systemd-journalctl@.service                  static          -
systemd-journald-sync@.service               static          -
systemd-journald.service                     static          -
systemd-journald@.service                    static          -
systemd-kexec.service                        static          -
systemd-localed.service                      static          -
systemd-logind.service                       static          -
systemd-loop@.service                        static          -
systemd-machine-id-commit.service            static          -
systemd-machined.service                     static          -
systemd-modules-load.service                 static          -
systemd-mountfsd.service                     indirect        disabled
systemd-mute-console@.service                static          -
systemd-network-generator.service            disabled        enabled
systemd-networkd-persistent-storage.service  static          -
systemd-networkd-wait-online.service         disabled        enabled
systemd-networkd-wait-online@.service        disabled        disabled
systemd-networkd.service                     disabled        enabled
systemd-nspawn@.service                      disabled        disabled
systemd-nsresourced.service                  indirect        disabled
systemd-oomd.service                         disabled        disabled
systemd-pcrextend@.service                   static          -
systemd-pcrfs-root.service                   static          -
systemd-pcrfs@.service                       static          -
systemd-pcrlock-file-system.service          disabled        disabled
systemd-pcrlock-firmware-code.service        disabled        disabled
systemd-pcrlock-firmware-config.service      disabled        disabled
systemd-pcrlock-machine-id.service           disabled        disabled
systemd-pcrlock-make-policy.service          disabled        disabled
systemd-pcrlock-secureboot-authority.service disabled        disabled
systemd-pcrlock-secureboot-policy.service    disabled        disabled
systemd-pcrlock@.service                     static          -
systemd-pcrmachine.service                   static          -
systemd-pcrnvdone.service                    static          -
systemd-pcrphase-factory-reset.service       static          -
systemd-pcrphase-initrd.service              static          -
systemd-pcrphase-storage-target-mode.service static          -
systemd-pcrphase-sysinit.service             static          -
systemd-pcrphase.service                     static          -
systemd-pcrproduct.service                   static          -
systemd-portabled.service                    static          -
systemd-poweroff.service                     static          -
systemd-pstore.service                       disabled        enabled
systemd-quotacheck-root.service              static          -
systemd-quotacheck@.service                  static          -
systemd-random-seed.service                  static          -
systemd-reboot.service                       static          -
systemd-remount-fs.service                   enabled-runtime disabled
systemd-repart.service                       static          -
systemd-repart@.service                      static          -
systemd-resolved.service                     disabled        enabled
systemd-rfkill.service                       static          -
systemd-soft-reboot.service                  static          -
systemd-storagetm.service                    static          -
systemd-suspend-then-hibernate.service       static          -
systemd-suspend.service                      static          -
systemd-sysctl.service                       static          -
systemd-sysext-initrd.service                static          -
systemd-sysext.service                       disabled        enabled
systemd-sysext@.service                      static          -
systemd-sysupdate-reboot.service             indirect        disabled
systemd-sysupdate.service                    indirect        disabled
systemd-sysupdated.service                   static          -
systemd-sysusers.service                     static          -
systemd-time-wait-sync.service               disabled        disabled
systemd-timedated.service                    static          -
systemd-timesyncd.service                    disabled        enabled
systemd-tmpfiles-clean.service               static          -
systemd-tmpfiles-setup-dev-early.service     static          -
systemd-tmpfiles-setup-dev.service           static          -
systemd-tmpfiles-setup.service               static          -
systemd-tpm2-clear.service                   disabled        enabled
systemd-tpm2-setup-early.service             static          -
systemd-tpm2-setup.service                   static          -
systemd-udev-load-credentials.service        disabled        disabled
systemd-udev-settle.service                  static          -
systemd-udev-trigger.service                 static          -
systemd-udevd.service                        static          -
systemd-update-done.service                  static          -
systemd-update-utmp.service                  static          -
systemd-user-sessions.service                static          -
systemd-userdb-load-credentials.service      disabled        disabled
systemd-userdbd.service                      indirect        disabled
systemd-validatefs@.service                  static          -
systemd-vconsole-setup.service               static          -
systemd-vmspawn@.service                     disabled        disabled
systemd-volatile-root.service                static          -
systemd-zram-setup@.service                  static          -
teamd@.service                               static          -
udisks2.service                              disabled        disabled
upower.service                               disabled        disabled
user-runtime-dir@.service                    static          -
user@.service                                static          -
uuidd.service                                indirect        disabled
waydroid-container.service                   enabled         disabled
waydroid-network-fix.service                 static          -
wpa_supplicant-nl80211@.service              disabled        disabled
wpa_supplicant-wired@.service                disabled        disabled
wpa_supplicant.service                       disabled        disabled
wpa_supplicant@.service                      disabled        disabled
capsule.slice                                static          -
machine.slice                                static          -
system-systemd\x2dcryptsetup.slice           static          -
system-systemd\x2dmute\x2dconsole.slice      static          -
system-systemd\x2dveritysetup.slice          static          -
user.slice                                   static          -
avahi-daemon.socket                          disabled        disabled
dbus.socket                                  static          -
dirmngr@.socket                              static          -
dm-event.socket                              static          -
docker.socket                                disabled        disabled
git-daemon.socket                            disabled        disabled
gpg-agent-browser@.socket                    static          -
gpg-agent-extra@.socket                      static          -
gpg-agent-ssh@.socket                        static          -
gpg-agent@.socket                            static          -
gpsd.socket                                  disabled        disabled
keyboxd@.socket                              static          -
krb5-kpropd.socket                           disabled        disabled
pcscd.socket                                 disabled        disabled
polkit-agent-helper.socket                   static          -
rsyncd.socket                                disabled        disabled
sshd-unix-local.socket                       generated       -
syslog.socket                                static          -
systemd-ask-password.socket                  static          -
systemd-bootctl.socket                       static          -
systemd-coredump.socket                      static          -
systemd-creds.socket                         static          -
systemd-factory-reset.socket                 disabled        disabled
systemd-hostnamed.socket                     static          -
systemd-importd.socket                       static          -
systemd-journal-gatewayd.socket              disabled        disabled
systemd-journal-remote.socket                disabled        disabled
systemd-journalctl.socket                    static          -
systemd-journald-audit.socket                disabled        enabled
systemd-journald-dev-log.socket              static          -
systemd-journald-varlink@.socket             static          -
systemd-journald.socket                      static          -
systemd-journald@.socket                     disabled        disabled
systemd-logind-varlink.socket                static          -
systemd-machined.socket                      static          -
systemd-mountfsd.socket                      disabled        enabled
systemd-mute-console.socket                  static          -
systemd-networkd-resolve-hook.socket         disabled        disabled
systemd-networkd-varlink-metrics.socket      disabled        disabled
systemd-networkd-varlink.socket              disabled        disabled
systemd-networkd.socket                      disabled        disabled
systemd-nsresourced.socket                   disabled        enabled
systemd-oomd.socket                          disabled        disabled
systemd-pcrextend.socket                     disabled        disabled
systemd-pcrlock.socket                       static          -
systemd-repart.socket                        static          -
systemd-resolved-monitor.socket              disabled        disabled
systemd-resolved-varlink.socket              disabled        disabled
systemd-rfkill.socket                        static          -
systemd-sysext.socket                        disabled        disabled
systemd-udevd-control.socket                 static          -
systemd-udevd-kernel.socket                  static          -
systemd-udevd-varlink.socket                 static          -
systemd-userdbd.socket                       enabled         enabled
uuidd.socket                                 disabled        disabled
dev-zram0.swap                               generated       -
basic.target                                 static          -
blockdev@.target                             static          -
bluetooth.target                             static          -
boot-complete.target                         static          -
cryptsetup-pre.target                        static          -
cryptsetup.target                            static          -
ctrl-alt-del.target                          alias           -
default.target                               alias           -
emergency.target                             static          -
exit.target                                  disabled        disabled
factory-reset-now.target                     static          -
factory-reset.target                         static          -
final.target                                 static          -
first-boot-complete.target                   static          -
getty-pre.target                             static          -
getty.target                                 static          -
graphical.target                             static          -
halt.target                                  disabled        disabled
hibernate.target                             masked          disabled
hybrid-sleep.target                          masked          disabled
imports-pre.target                           static          -
imports.target                               static          -
initrd-fs.target                             static          -
initrd-root-device.target                    static          -
initrd-root-fs.target                        static          -
initrd-switch-root.target                    static          -
initrd-usr-fs.target                         static          -
initrd.target                                static          -
integritysetup-pre.target                    static          -
integritysetup.target                        static          -
kexec.target                                 disabled        disabled
local-fs-pre.target                          static          -
local-fs.target                              static          -
machines.target                              disabled        enabled
multi-user.target                            indirect        disabled
network-online.target                        static          -
network-pre.target                           static          -
network.target                               static          -
nss-lookup.target                            static          -
nss-user-lookup.target                       static          -
paths.target                                 static          -
poweroff.target                              disabled        disabled
printer.target                               static          -
reboot.target                                disabled        enabled
remote-cryptsetup.target                     disabled        enabled
remote-fs-pre.target                         static          -
remote-fs.target                             enabled         enabled
remote-integritysetup.target                 disabled        enabled
remote-veritysetup.target                    disabled        enabled
rescue.target                                static          -
rpcbind.target                               static          -
shutdown.target                              static          -
sigpwr.target                                static          -
sleep.target                                 masked          disabled
slices.target                                static          -
smartcard.target                             static          -
sockets.target                               static          -
soft-reboot.target                           static          -
sound.target                                 static          -
ssh-access.target                            static          -
storage-target-mode.target                   static          -
suspend-then-hibernate.target                masked          disabled
suspend.target                               masked          disabled
swap.target                                  static          -
sysinit.target                               static          -
system-update-pre.target                     static          -
system-update.target                         static          -
time-set.target                              static          -
time-sync.target                             static          -
timers.target                                static          -
tpm2.target                                  static          -
umount.target                                static          -
usb-gadget.target                            static          -
veritysetup-pre.target                       static          -
veritysetup.target                           static          -
archlinux-keyring-wkd-sync.timer             static          -
e2scrub_all.timer                            disabled        disabled
fstrim.timer                                 disabled        disabled
mdadm-last-resort@.timer                     static          -
mdcheck_continue.timer                       disabled        disabled
mdcheck_start.timer                          disabled        disabled
mdmonitor-oneshot.timer                      disabled        disabled
shadow.timer                                 static          -
systemd-sysupdate-reboot.timer               disabled        disabled
systemd-sysupdate.timer                      disabled        disabled
systemd-tmpfiles-clean.timer                 static          -
waydroid-network-fix.timer                   enabled         disabled

441 unit files listed.
